CSA2020,totsites,percent_filled,rich_totsites,rich_tottree,Evar,spave,AvgDBH_small,AvgDBH_med,AvgDBH_large,PercPoor,PercGood,PercDead,Perc2.97
Greektown/Bayview,3275,56.36641221374046,0.02564885496183206,0.04550379198266522,0.2738511676824188,0.4365185789531552,10.703840490797546,26.076987755102042,17.001255136986302,6.8797399783315285,63.109425785482124,6.554712892741062,146.6955579631636
Hamilton,2308,38.73483535528596,0.03466204506065858,0.0894854586129754,0.36525867686502755,0.416140353160964,19.485723577235774,29.558342857142858,46.94859592020906,11.74496644295302,45.52572706935123,7.38255033557047,244.85458612975393
Hamilton Hills,4216,38.44876660341556,0.023244781783681213,0.06045650832819247,0.2860124286013783,0.40920396265664927,16.418367088607596,24.45050181818182,40.63046648793566,10.857495373226403,59.901295496607034,9.808760024676126,252.4984577421345
Hampden/Remington,3929,65.38559429880377,0.029524051921608552,0.04515375632541845,0.2690041606834308,0.429287605821258,15.871617433414043,28.61756062639821,33.49095618661258,8.71934604904632,70.33865317244063,3.3086804203970415,126.15803814713897
Harbor East/Little Italy,2164,58.45656192236599,0.024953789279112754,0.042687747035573126,0.22669081734172114,0.3672847479961894,12.148949152542373,18.548497674418606,19.308154852780806,5.138339920948617,71.7786561264822,5.533596837944664,112.4901185770751
Highlandtown,2443,67.00777732296356,0.02660663119115841,0.03970678069639585,0.2745506164413174,0.4090270378767697,10.358219607843138,25.351787037037038,16.729860215053762,5.253512522907758,68.78436163714112,5.00916310323763,113.86682956627978
Howard Park/West Arlington,5071,28.43620587655295,0.016761979885624136,0.05894590846047157,0.3249401288467537,0.41869850069251224,15.446686274509805,47.970209090909094,54.630817820136855,20.87378640776699,47.503467406380025,9.70873786407767,348.2662968099861
Inner Harbor/Federal Hill,4008,67.58982035928143,0.018962075848303395,0.028054632705795498,0.2306977662884091,0.38408578944082794,13.096464944649446,27.339964476021315,22.24509493670886,5.426356589147287,74.64008859357698,7.3827980804725,113.62126245847175
Loch Raven,3436,43.684516880093135,0.027648428405122234,0.06329113924050633,0.30756587151233217,0.3468672353777075,13.922375,29.355306306306307,47.2565616093881,10.126582278481013,63.1578947368421,11.05929380413058,227.64823451032643
Madison/East End,1999,77.88894447223612,0.02451225612806403,0.03147077713551702,0.2571736861297389,0.32263543439652015,5.583192429022082,18.43136888888889,10.724565310492505,4.303147077713552,75.78676942838793,3.7893384714193963,110.85420680796403
Midtown,4313,82.56434036633435,0.01947600278228611,0.02358887952822241,0.20758316188257397,0.3195397466459175,11.281833333333333,24.220714285714287,20.430796722590713,6.149957877000842,78.82617242347655,4.549283909014322,107.5821398483572
Midway/Coldstream,2838,38.231148696264974,0.02466525722339676,0.06451612903225806,0.34178020474042625,0.4690553455389073,12.00075294117647,25.461659420289855,30.184048048048048,14.009216589861751,45.622119815668206,8.202764976958525,191.05990783410138
Morrell Park/Violetville,1917,40.16692749087115,0.0396452790818988,0.0987012987012987,0.3928787879988148,0.5015944581500106,14.083631578947369,24.53571812080537,44.03661752988048,13.766233766233766,62.5974025974026,11.818181818181818,232.33766233766232
Mount Washington/Coldspring,1842,66.66666666666666,0.05537459283387622,0.08306188925081433,0.3441171503408136,0.4580593753513042,16.28045925925926,29.92982870813397,41.62753448275862,11.319218241042345,59.60912052117264,5.618892508143322,149.7557003257329
North Baltimore/Guilford/Homeland,6569,82.78276754452733,0.021616684426853404,0.0261125413755057,0.22303644253446586,0.43428368845459137,20.158896210873145,28.584836994219653,43.858274074074075,5.921294593600589,68.15005516734094,4.376609047443914,118.75689591761677
Northwood,3472,49.79838709677419,0.02534562211981567,0.05089647194910353,0.272595878634891,0.4267893541633947,15.885409836065573,30.958366666666667,39.41524617737003,8.733371891266628,64.31463273568536,8.270676691729323,199.0746096009254
Oldtown/Middle East,3972,58.333333333333336,0.016112789526686808,0.02762192490289167,0.21788313233202727,0.3925415137751748,12.916975132275132,24.979613924050632,21.53889300254453,9.106603366422098,63.659905049633146,7.639188605955978,124.51445835131636
Oliver/Johnson Square,2904,46.31542699724518,0.01859504132231405,0.04014869888475837,0.23418529474179461,0.3824756097516204,9.849922077922079,29.873767955801107,20.895936127744513,12.267657992565056,60.89219330855019,8.996282527881041,132.19330855018586
