CSA2020,totsites,percent_filled,rich_totsites,rich_tottree,Evar,spave,AvgDBH_smallmed,AvgDBH_large,PercPoor,PercGood,PercDead,Perc2.97
Forest Park/Walbrook,3149,32.13718640838361,0.0231819625277866,0.07213438735177866,0.3313997981854886,0.45864441446300136,33.46308888888889,54.341284634760704,16.106719367588934,38.537549407114625,14.031620553359684,302.17391304347825
Glen-Fallstaff,2825,47.256637168141594,0.027964601769911505,0.05917602996254682,0.329968951294651,0.4709470785973707,30.83820512820513,50.937617806731815,17.078651685393258,53.78277153558052,5.692883895131086,202.77153558052436
Greater Charles Village/Barclay,4690,83.90191897654584,0.022601279317697228,0.026937738246505718,0.2182602398329434,0.34043939894107134,21.846769078295345,21.492337240075614,6.048284625158831,57.38246505717917,4.599745870393901,110.77509529860228
Greater Govans,1199,46.622185154295245,0.05337781484570475,0.11449016100178891,0.4073673797661965,0.4430301750761686,34.98320833333334,36.69666494117647,12.343470483005367,56.529516994633276,7.8711985688729875,202.86225402504473
Greater Lauraville,3631,60.341503717984025,0.024786560176259985,0.041077133728890915,0.27729221555914785,0.3812142613429327,23.1775,36.98142307692308,7.0743952533089915,70.74395253308991,6.252852578731173,161.47877681424006
Greater Mondawmin,3101,48.72621734924218,0.023218316672041276,0.04765056254136334,0.3065868054869112,0.4262463304821175,28.475931271477663,38.70534801762114,9.133024487094639,57.57776307081402,7.941760423560557,187.62409000661813
Greater Roland Park/Poplar Hill,4529,87.65731949657761,0.024287922278648708,0.027707808564231738,0.24120676030647303,0.37936298310811967,24.107855042016805,41.822098253275115,3.9798488664987404,78.0352644836272,7.027707808564232,113.87909319899245
Greater Rosemont,4310,38.83990719257541,0.02088167053364269,0.053763440860215055,0.2864749951092951,0.4238609313145685,30.419728813559324,40.55054563492064,7.765830346475508,63.20191158900836,8.24372759856631,204.00238948626045
Greektown/Bayview,3275,56.36641221374046,0.02564885496183206,0.04550379198266522,0.2738511676824188,0.4365185789531552,17.505418047882138,17.001255136986302,6.8797399783315285,63.109425785482124,6.554712892741062,146.6955579631636
Hamilton,2308,38.73483535528596,0.03466204506065858,0.0894854586129754,0.36525867686502744,0.416140353160964,24.783561538461537,46.94859592020906,11.74496644295302,45.52572706935123,7.38255033557047,244.85458612975393
Hamilton Hills,4216,38.44876660341556,0.023244781783681213,0.06045650832819247,0.28601242860137843,0.40920396265664927,21.707039215686272,40.63046648793566,10.857495373226403,59.901295496607034,9.808760024676126,252.4984577421345
Hampden/Remington,3929,65.38559429880377,0.029524051921608552,0.04515375632541845,0.2690041606834309,0.429287605821258,22.615129095354522,33.49095618661258,8.71934604904632,70.33865317244063,3.3086804203970415,126.15803814713897
Harbor East/Little Italy,2164,58.45656192236599,0.024953789279112754,0.042687747035573126,0.22669081734172092,0.3672847479961894,16.358967692307694,19.308154852780806,5.138339920948617,71.7786561264822,5.533596837944664,112.4901185770751
Highlandtown,2443,67.00777732296356,0.02660663119115841,0.03970678069639585,0.2745506164413174,0.4090270378767697,17.167183406113537,16.729860215053765,5.253512522907758,68.78436163714112,5.00916310323763,113.86682956627978
Howard Park/West Arlington,5071,28.43620587655295,0.016761979885624136,0.05894590846047157,0.3249401288467536,0.41869850069251224,38.487688165680474,54.630817820136855,20.87378640776699,47.503467406380025,9.70873786407767,348.2662968099861
Inner Harbor/Federal Hill,4008,67.58982035928143,0.018962075848303395,0.028054632705795498,0.230697766288409,0.38408578944082794,22.7539074829932,22.24509493670886,5.426356589147287,74.64008859357698,7.3827980804725,113.62126245847175
Loch Raven,3436,43.684516880093135,0.027648428405122234,0.06329113924050633,0.30756587151233195,0.3468672353777075,26.967924812030073,47.2565616093881,10.126582278481013,63.1578947368421,11.05929380413058,227.64823451032643
Madison/East End,1999,77.88894447223612,0.02451225612806403,0.03147077713551702,0.2571736861297389,0.32263543439652015,11.518101419878295,10.724565310492505,4.303147077713552,75.78676942838793,3.7893384714193963,110.85420680796403
Midtown,4313,82.56434036633435,0.01947600278228611,0.02358887952822241,0.20758316188257397,0.3195397466459175,20.862619799139168,20.430796722590713,6.149957877000842,78.82617242347655,4.549283909014322,107.5821398483572
Midway/Coldstream,2838,38.231148696264974,0.02466525722339676,0.06451612903225806,0.3417802047404265,0.4690553455389073,22.950766570605186,30.184048048048048,14.009216589861751,45.622119815668206,8.202764976958525,191.05990783410138
Morrell Park/Violetville,1917,40.16692749087115,0.0396452790818988,0.0987012987012987,0.3928787879988149,0.5015944581500106,21.463,44.03661752988048,13.766233766233766,62.5974025974026,11.818181818181818,232.33766233766232
Mount Washington/Coldspring,1842,66.66666666666666,0.05537459283387622,0.08306188925081433,0.34411715034081347,0.4580593753513042,24.580461224489795,41.62753448275862,11.319218241042345,59.60912052117264,5.618892508143322,149.7557003257329
North Baltimore/Guilford/Homeland,6569,82.78276754452733,0.021616684426853404,0.0261125413755057,0.22303644253446597,0.43428368845459137,25.550197583511018,43.858274074074075,5.921294593600589,68.15005516734094,4.376609047443914,118.75689591761677
Northwood,3472,49.79838709677419,0.02534562211981567,0.05089647194910353,0.2725958786348909,0.4267893541633947,26.935510574018124,39.41524617737003,8.733371891266628,64.31463273568536,8.270676691729323,199.0746096009254
Oldtown/Middle East,3972,58.333333333333336,0.016112789526686808,0.02762192490289167,0.21788313233202727,0.3925415137751748,19.78894332784185,21.53889300254453,9.106603366422098,63.659905049633146,7.639188605955978,124.51445835131636
Oliver/Johnson Square,2904,46.31542699724518,0.01859504132231405,0.04014869888475837,0.23418529474179461,0.3824756097516204,25.117907834101384,20.89593612774451,12.267657992565056,60.89219330855019,8.996282527881041,132.19330855018586
Orchard Ridge/Armistead,1713,57.734967892586106,0.040280210157618214,0.06976744186046512,0.3047290760662128,0.4449993773055608,16.052615942028986,19.627908256880733,10.920121334681497,50.15166835187057,4.853387259858443,165.62184024266938
Patterson Park North & East,3588,78.87402452619844,0.020624303232998884,0.026148409893992933,0.22367085720708868,0.32368518368663823,14.798213675213676,14.638436835891383,3.92226148409894,76.78445229681978,3.4275618374558303,110.21201413427562
Penn North/Reservoir Hill,2383,74.27612253462023,0.029794376835921108,0.04011299435028248,0.25326098514380735,0.32379999069065296,19.773034090909093,24.1531628994544,8.305084745762711,71.2994350282486,5.310734463276836,115.70621468926554
Pigtown/Carroll Park,2745,67.35883424408014,0.024408014571948997,0.03623580313683072,0.29239450468121,0.34631369955788627,20.538548440065682,21.235930745658838,3.461330448891293,81.77393185505679,7.842076798269335,124.06706327744728
Pimlico/Arlington/Hilltop,2796,32.83261802575107,0.025393419170243205,0.07734204793028322,0.3373378971804373,0.45420402109963715,26.187977272727274,43.99056514382403,21.67755991285403,44.55337690631808,7.952069716775599,268.082788671024
