SPP,Genus,Species,Family
Syringa vulgaris,Syringa,vulgaris,Oleaceae
Taxodium distichum,Taxodium,distichum,Cupressaceae
Taxus spp.,Taxus,spp.,Taxaceae
Thuja occidentalis,Thuja,occidentalis,Cupressaceae
Thuja plicata,Thuja,plicata,Cupressaceae
Thuja spp.,Thuja,spp.,Cupressaceae
Tilia americana,Tilia,americana,Malvaceae
Tilia cordata,Tilia,cordata,Malvaceae
Tilia mongolica,Tilia,mongolica,Malvaceae
Tilia tomentosa,Tilia,tomentosa,Malvaceae
Tilia x euchlora,Tilia,x euchlora,Malvaceae
Tsuga candensis,Tsuga,candensis,Pinaceae
Ulmus alata,Ulmus,alata,Ulmaceae
Ulmus americana,Ulmus,americana,Ulmaceae
Ulmus carpinifolia,Ulmus,carpinifolia,Ulmaceae
Ulmus parvifolia,Ulmus,parvifolia,Ulmaceae
Ulmus pumila,Ulmus,pumila,Ulmaceae
Ulmus rubra,Ulmus,rubra,Ulmaceae
Ulmus spp.,Ulmus,spp.,Ulmaceae
Ulmus thomasi,Ulmus,thomasi,Ulmaceae
Ulmus x,Ulmus,x,Ulmaceae
Viburnum lentago,Viburnum,lentago,Adoxaceae
Viburnum rufidulum,Viburnum,rufidulum,Adoxaceae
Viburnum spp.,Viburnum,spp.,Adoxaceae
Vitex agnus-castus,Vitex,agnus-castus,Lamiaceae
X Cupressocyparis leylandii,X Cupressocyparis,leylandii,Cupressaceae
Zelkova serrata,Zelkova,serrata,Ulmaceae
Zelkova sinica,Zelkova,sinica,Ulmaceae
