CSA2020,percent_filled,all_sites,total_trees,rich_tot,Evar,spave,AvgDBH_small,AvgDBH_med,AvgDBH_large,PercPoor,PercGood,PercDead,Perc2.97
Hampden/Remington,68.50666666666667,3750,2569,0.04632152588555858,0.26153436258720286,0.4215865743682934,19.964281860465118,29.57120200501253,33.428037282229965,8.71934604904632,70.33865317244063,3102.1019852082522,86.42666666666666
Harbor East/Little Italy,60.61332055582176,2087,1265,0.043478260869565216,0.2235775583636076,0.3637344003071813,15.412865142857143,19.857433802816903,18.435197335553706,5.138339920948617,71.7786561264822,2703.399209486166,68.18399616674652
Highlandtown,70.13710368466153,2334,1637,0.04031765424557117,0.25865983230660783,0.36888010056345527,13.135939637826962,25.681076142131978,17.621164420485176,5.253512522907758,68.78436163714112,3003.176542455712,79.86289631533847
Howard Park/West Arlington,28.719378609838675,5021,1442,0.06102635228848821,0.3213654845361603,0.4145625280219633,23.195747126436782,48.63162489270386,55.59607531566641,20.87378640776699,47.503467406380025,4106.865464632455,100.01991635132444
Inner Harbor/Federal Hill,71.57199471598415,3785,2709,0.028423772609819122,0.22651999805326228,0.3871565517223755,15.63348681055156,28.31234725274725,22.54870453482936,5.426356589147287,74.64008859357698,8204.35585086748,81.32100396301189
Loch Raven,43.97890418986229,3413,1501,0.06462358427714857,0.3089240287876046,0.34543931066596567,18.736067415730336,31.24710552763819,46.54427978478094,10.126582278481013,63.1578947368421,2209.593604263824,100.1171989452095
Madison/East End,80.46511627906978,1935,1557,0.03211303789338472,0.2533959740473861,0.3156346827616731,6.417691931540342,23.392630303030302,10.78349293433084,4.303147077713552,75.78676942838793,2202.3763648041104,89.19896640826873
Midtown,85.39568345323741,4170,3561,0.023869699522606008,0.20449249187197538,0.3141772140725068,12.98601680672269,29.468175342465752,19.328692046227058,6.149957877000842,78.82617242347655,8502.162313956755,91.8705035971223
Midway/Coldstream,39.970446989287034,2707,1082,0.06561922365988909,0.3349341298381624,0.4650563242520208,15.253917808219178,26.7463984375,31.139922043010753,14.048059149722736,45.74861367837338,2106.2846580406654,76.57923900997415
Morrell Park/Violetville,41.088580576307365,1874,770,0.1012987012987013,0.39024476499883454,0.4928889215723695,17.692487394957983,25.527,44.9769484902309,13.766233766233766,62.5974025974026,3107.792207792208,95.46424759871933
Mount Washington/Coldspring,68.1465038845727,1802,1228,0.08469055374592833,0.3343764319038862,0.4494599542973116,18.947946428571427,31.203224468085107,42.14077373974209,11.319218241042345,59.60912052117264,2303.7459283387625,102.05327413984462
North Baltimore/Guilford/Homeland,83.95862281920643,6477,5438,0.027031997057741817,0.21642134191279594,0.427697153395677,22.643620998980634,29.79297201017812,45.56129597285068,5.921294593600589,68.15005516734094,7802.942258183155,99.70665431526942
Northwood,50.5260081823495,3422,1729,0.05205320994794679,0.26842419972224874,0.4245656140867885,18.233145539906104,36.02892307692308,38.56234938892883,8.733371891266628,64.31463273568536,4905.436668594563,100.5844535359439
Oldtown/Middle East,62.85946825827455,3686,2317,0.028053517479499353,0.21768850984636734,0.390748543826113,13.373954524361949,31.081697777777777,19.99767152385839,9.106603366422098,63.659905049633146,7904.229607250755,78.26912642430818
Oliver/Johnson Square,50.81224027200605,2647,1345,0.040892193308550186,0.22985090766646687,0.37226099397760953,13.312502857142857,34.594,20.448905560458957,12.267657992565056,60.89219330855019,3106.6914498141264,67.17038156403476
Orchard Ridge/Armistead,58.27931644077784,1697,989,0.0717896865520728,0.30782437262635065,0.44576987291343517,14.026098159509203,18.111557251908398,18.885214876033057,10.920121334681497,50.15166835187057,1603.2355915065723,96.52327637006482
Patterson Park North & East,82.48324103759836,3431,2830,0.02685512367491166,0.21233751760078712,0.310186905665791,12.333931524547804,22.408805111821085,14.151580961269248,3.92226148409894,76.78445229681978,4201.943462897526,90.90644127076654
Penn North/Reservoir Hill,77.19145224596599,2293,1770,0.04067796610169491,0.24832543405618024,0.32785428477750983,10.34768472906404,28.634804232804232,23.417524124256445,8.305084745762711,71.2994350282486,2703.785310734463,89.31530745747929
Pigtown/Carroll Park,72.17017954722873,2562,1849,0.03677663601946998,0.28050102341485306,0.3337829495301346,15.034312617702449,29.068568181818183,20.99751054263566,3.461330448891293,81.77393185505679,6604.272579772851,89.53942232630757
Pimlico/Arlington/Hilltop,33.442622950819676,2745,918,0.07952069716775599,0.3340464924688217,0.4580287740008953,20.735840707964602,29.733875,44.932567394094995,21.67755991285403,44.55337690631808,1606.2091503267975,89.65391621129326
Poppleton/The Terraces/Hollins Market,75.1434034416826,2092,1572,0.048982188295165395,0.2689752155602777,0.38351371495423137,14.346051948051947,27.732062176165805,17.81194011976048,5.852417302798982,69.46564885496184,2701.4631043256995,81.69216061185467
Sandtown-Winchester/Harlem Park,54.78947368421052,3800,2082,0.03121998078770413,0.22006528986628715,0.3185152688348014,12.517175824175824,24.76086511627907,23.52013050397878,14.169068203650337,31.316042267050914,6804.8030739673395,75.55263157894737
South Baltimore,69.93835941204362,2109,1475,0.04745762711864407,0.2817833364753809,0.4385248089863253,14.245492307692308,25.74228048780488,18.615419434194344,4.88135593220339,71.38983050847457,2402.1016949152545,77.0981507823613
Southeastern,53.80085653104925,1868,1005,0.05373134328358209,0.2648836951178387,0.5230739077738783,9.225547368421052,25.212922155688624,24.057646634615384,7.064676616915423,59.601990049751244,2803.582089552239,93.3083511777302
Southern Park Heights,31.585081585081586,2574,813,0.08856088560885608,0.38608785966789927,0.4612764694665943,19.96325842696629,39.64974324324324,49.62142525399129,22.263222632226324,41.57441574415744,2109.840098400984,90.9090909090909
Southwest Baltimore,58.824786324786324,4680,2753,0.03269160915365056,0.2255674874697362,0.3377063611359227,12.831561436672969,23.963482185273158,18.095847583643124,6.24772974936433,67.4173628768616,8002.869596803486,75.53418803418803
The Waverlies,61.95244055068836,2397,1485,0.04579124579124579,0.23248166816902993,0.3829418330657882,16.29086274509804,32.51497076023392,33.69112118713932,10.37037037037037,57.77777777777777,3203.232323232323,92.53233208176887
Upton/Druid Heights,63.737796373779645,2868,1828,0.04048140043763676,0.24914422602021646,0.38786384387751693,14.360514657980456,29.35732,25.39032865731463,12.472647702407002,35.010940919037196,3103.2822757111594,77.96373779637378
Westport/Mount Winans/Lakeland,61.85147507629705,983,608,0.08717105263157894,0.36741368837265653,0.43776561154723737,16.08098780487805,24.165277777777778,28.375069306930694,10.855263157894738,52.79605263157895,5503.782894736842,102.2380467955239
